파아나, 81, 164
아라마, 46, 193
하바하, 95, 169
사사가, 94, 166
가하자, 59, 160
아라사, 88, 179
바아차, 96, 145
차가차, 58, 197
사아하, 62, 171
아바차, 48, 169
아하아, 60, 163
마아가, 43, 140
다아라, 62, 158
가카타, 41, 195
아사차, 84, 198
카라타, 96, 151
라차하, 56, 151
라가다, 48, 161
다가사, 49, 178
하하하, 87, 171
카다라, 84, 192
아사나, 79, 182
아마가, 52, 143
다다가, 68, 192
사차가, 65, 195
나카아, 95, 164
타타다, 91, 161
차자파, 93, 160
사라마, 61, 174
카카파, 96, 158
파다차, 67, 147
카라마, 67, 156
카다가, 83, 181
타사하, 43, 170
파사타, 86, 143
타차사, 94, 176
나바다, 48, 179
다아차, 69, 191
마마파, 61, 198
카가라, 77, 199
파마차, 41, 185
다나다, 59, 194
사하바, 88, 177
바바다, 94, 191
다차사, 56, 169
자라아, 94, 147
자차하, 68, 152
파가가, 45, 152
자타타, 87, 143
하마카, 93, 161
라라파, 43, 160
마아다, 72, 168
차라라, 49, 181
가라하, 71, 189
마카카, 96, 183
바나파, 78, 166
자다사, 63, 165
다사마, 66, 172
차다바, 66, 196
다아카, 84, 147
하다나, 85, 154
자라타, 70, 151
나나아, 56, 184
타자자, 41, 197
차하파, 51, 159
자나타, 60, 162
카차타, 93, 181
파타라, 71, 195
하하가, 95, 184
아자하, 85, 160
라자마, 67, 184
하마차, 78, 178
하바카, 62, 196
나나하, 72, 146
마타카, 52, 144
라바하, 66, 147
라차타, 98, 157
라가타, 66, 183
바자차, 64, 182
카나차, 59, 176
라사라, 89, 185
아자라, 41, 143
가다자, 79, 177
파하자, 71, 141
타카카, 95, 163
마하차, 95, 199
사바마, 92, 163
바사차, 47, 170
사바자, 43, 177
하카나, 62, 195
카카하, 88, 186
사파나, 93, 183
마하하, 57, 147
카마파, 80, 160
가아카, 84, 143
아자카, 91, 166
하마다, 48, 152
하하차, 73, 181
다하사, 65, 189
자아파, 50, 195
다마사, 67, 179
나타카, 44, 194
하하가, 64, 173
파나타, 82, 186
바아파, 86, 152
파사다, 82, 150
다타다, 53, 189
자바라, 49, 151
타가아, 81, 170
나파나, 90, 176
차바하, 63, 196
가마파, 48, 166
카차파, 42, 188
다다타, 97, 171
차아나, 72, 171
카타아, 42, 184
가마마, 93, 170
타카사, 77, 150
가타차, 92, 152
사카마, 76, 187
파타가, 58, 155
바자차, 68, 153
마카자, 80, 164
차자카, 79, 149
파자타, 44, 169
차아타, 95, 184
카차나, 65, 145
하차카, 43, 171
다바다, 81, 175
다카다, 99, 193
차카다, 86, 160
차나마, 79, 150
차차아, 69, 157
아타마, 85, 160
라카카, 47, 140
마바자, 64, 148
하하파, 78, 161
타차하, 44, 199
라다사, 68, 154
사하라, 62, 191
파다가, 44, 196
바사다, 69, 158
카자파, 55, 179
타파사, 42, 166
나바타, 70, 193
카가자, 45, 193
카라타, 74, 187
마파나, 53, 154
차라라, 61, 162
파카사, 94, 160
나나나, 58, 157
바차파, 42, 184
아마마, 82, 174
카라아, 90, 161
바아라, 75, 164
카파카, 82, 181
타파차, 51, 191
자바사, 56, 176
차다파, 89, 151
나아카, 82, 169
아사하, 67, 176
자바하, 61, 168
파가라, 92, 162
바자가, 82, 147
라다가, 66, 149
타사바, 70, 163
파자라, 97, 178
가사다, 89, 150
사가하, 53, 176
자가하, 51, 187
카나사, 80, 152
마라타, 68, 176
라차파, 57, 169
아다자, 61, 188
나라라, 59, 167
차마자, 53, 172
아파다, 98, 174
차라카, 59, 147
타하마, 54, 145
하라라, 99, 152
나차하, 98, 171
다자사, 96, 195
나다다, 56, 145
카하나, 48, 168
나자파, 86, 165
바사가, 93, 171
사타나, 63, 144
나아라, 82, 194
자라타, 83, 177
하사파, 72, 175
아라라, 95, 186
바차파, 80, 157
마나타, 87, 195
사차카, 78, 189
사나하, 91, 198
아차가, 67, 167
파파라, 68, 146
바타다, 70, 188
마다카, 53, 163
나카가, 89, 145
타라마, 63, 169
자가카, 65, 168
타라타, 94, 147
바라타, 93, 140
파라타, 63, 198
사가차, 65, 157
카파마, 63, 144
자차라, 95, 198
타타가, 71, 180
사라사, 82, 170
다가라, 79, 181
하나파, 70, 183
나바다, 93, 182
하다차, 82, 165
사다파, 51, 167
가파가, 55, 183
카사카, 86, 171
하타라, 48, 165
파파아, 57, 179
바하바, 92, 193
타나카, 70, 169
마자파, 41, 157
마아사, 82, 152
하타나, 97, 140
바가라, 82, 194
마나마, 55, 175
파바바, 69, 162
하바나, 69, 188
사아바, 46, 178
라하아, 47, 141
아카자, 40, 185
나바카, 85, 176
가카타, 93, 177
카하차, 88, 157
마다다, 50, 185
카나다, 51, 143
마타차, 64, 182
마아나, 99, 161
카파파, 70, 195
하하라, 50, 164
하차타, 92, 164
다나하, 86, 197
나마다, 72, 199
차마가, 61, 184
카타나, 86, 158
사카파, 88, 159
나바라, 66, 169
사라파, 90, 145
나마가, 75, 169
파카마, 84, 188
다다나, 49, 165
아마바, 67, 172
사차바, 91, 149
다타자, 68, 176
아마가, 83, 174
하사차, 67, 194
바가타, 94, 155
바파아, 48, 151
사마다, 86, 175
타사사, 46, 193
가라차, 93, 177
사나자, 40, 156
가나나, 93, 183
가카자, 84, 154
파파하, 77, 162
마나아, 75, 166
다차가, 74, 155
라차라, 74, 193
라차하, 78, 180
하라라, 61, 182
사가차, 59, 176
마바마, 90, 170
다아바, 85, 175
사하차, 42, 143
하사아, 93, 199
다차사, 46, 184
하카타, 80, 149
하아카, 98, 176
다타사, 66, 183
파나카, 88, 177
라바타, 65, 146
다타타, 77, 161
마타마, 49, 178
나파사, 86, 147
카파사, 87, 168
카나바, 40, 149
하타사, 55, 177
자다사, 94, 146
바가다, 45, 164
하가마, 47, 145
마하바, 85, 183
가가파, 74, 150
다자파, 58, 196
라하바, 49, 151
아카사, 90, 148
아차하, 53, 155
차나나, 90, 172
라차바, 78, 167
하자바, 96, 197
카가바, 57, 184
파하사, 90, 167
사마자, 44, 170
카카차, 87, 171
나사마, 82, 181
바가마, 63, 197
자라마, 54, 163
나하카, 73, 185
파파라, 80, 140
가나바, 96, 161
자마파, 69, 172
나사사, 96, 187
아라나, 54, 191
타마마, 81, 173
마나바, 40, 189
자라자, 57, 172
차다다, 53, 187
타다사, 52, 179
마파아, 64, 144
차가자, 73, 169
라라아, 42, 152
카사나, 92, 156
마타타, 64, 179
사파자, 79, 140
카자마, 88, 196
마나차, 83, 190
파사바, 94, 168
가바바, 98, 151
가타자, 93, 189
다바자, 79, 160
가바사, 69, 196
하하나, 84, 147
타사다, 85, 189
라타다, 40, 169
타라파, 48, 185
바마가, 76, 188
라하사, 53, 147
마자타, 95, 153
바나파, 60, 195
카파가, 80, 186
아라바, 90, 177
타나파, 66, 167
가사아, 42, 154
하사파, 80, 146
나다카, 97, 141
라가파, 43, 196
사아바, 44, 187
차차가, 62, 162
가카카, 69, 184
하바아, 65, 160
나마아, 81, 154
차다가, 93, 199
차하아, 74, 194
타파파, 66, 176
파다타, 62, 162
카타사, 99, 162
가차다, 60, 168
바자타, 61, 178
바사파, 68, 143
카사파, 91, 193
차가마, 80, 188
마마파, 75, 151
다바파, 48, 194
라차하, 72, 140
바아하, 55, 141
카다다, 90, 188
다카타, 58, 157
아하바, 40, 142
가마사, 48, 171
자라가, 51, 178
카가아, 86, 140
아타하, 92, 194
아가라, 61, 153
가라아, 47, 190
다하파, 72, 153
차마바, 69, 145
타하가, 63, 179
타사나, 89, 164
파하나, 48, 140
가가나, 92, 185
사가카, 46, 170
파하차, 40, 196
다타카, 53, 197
카하라, 82, 160
사아타, 72, 179
타라하, 77, 167
바파타, 66, 165
나차아, 82, 176
라마차, 76, 142
타가가, 42, 162
나파사, 91, 157
파라카, 96, 149
자나차, 55, 143
아아하, 86, 172
타타자, 59, 155
마가아, 46, 142
파바카, 56, 194
자다나, 67, 181
아마나, 91, 171
사자아, 41, 180
라바마, 66, 179
바바다, 66, 149
타자다, 77, 166
라타아, 71, 143
마라하, 53, 142
사카하, 75, 149
타하자, 69, 145
파자아, 65, 163
타사하, 95, 142
마차라, 68, 174
가다바, 73, 196
하차사, 77, 165
카타차, 90, 147
나아마, 48, 144
자바사, 97, 177
나하자, 55, 183
사가타, 99, 190
카가사, 93, 153
하라바, 55, 154
차자하, 73, 191
카하사, 93, 154
아다사, 79, 141
마사나, 43, 194
카자나, 67, 178
사타카, 68, 162
마바나, 63, 162
차타사, 66, 147
사나하, 48, 156
다다타, 72, 181
타마하, 89, 172
사마다, 99, 175
라자라, 47, 174
차라타, 65, 187
카카사, 90, 182
사다나, 93, 199
카라차, 59, 154
바가자, 94, 174
파다나, 87, 155
나파자, 90, 194
아자나, 54, 140
타가나, 54, 190
아다나, 74, 159
바바타, 56, 163
라다하, 67, 185
가카하, 61, 177
다마나, 40, 177
타차하, 41, 144
타마차, 86, 170
카사라, 51, 146
카라나, 85, 159
아바자, 70, 158
마자아, 83, 195
사나사, 91, 142
차아나, 69, 151
하가나, 70, 187
타하사, 69, 162
나타하, 80, 177
파아사, 45, 196
아파바, 77, 181
사가타, 57, 178
파카타, 44, 141
사타나, 44, 180
다하타, 42, 183
아차하, 63, 186
하가나, 63, 188
파라타, 84, 144
아나하, 49, 185
카자파, 67, 146
타카파, 48, 185
타아라, 92, 156
마나아, 58, 147
하라자, 93, 197
사카파, 46, 168
파차바, 65, 162
가파다, 85, 145
마다라, 67, 141
마아카, 44, 142
바아하, 98, 159
아나하, 45, 159
바자사, 49, 159
하차다, 84, 163
자타하, 41, 187
사차아, 69, 155
파타타, 75, 182
카차가, 64, 198
차나파, 51, 187
가라마, 89, 184
바자가, 71, 143
타다차, 48, 178
카사하, 64, 173
차사아, 45, 195
사라하, 54, 175
하라바, 74, 199
카카사, 99, 196
아마라, 56, 145
타사아, 70, 186
사차차, 75, 142
마나타, 94, 141
아자라, 87, 152
파차나, 79, 162
나파라, 58, 159
차카마, 96, 199
타마다, 49, 153
카바마, 61, 183
바라마, 77, 174
라파나, 58, 182
자아카, 82, 164
파사자, 65, 186
사하다, 82, 151
라아카, 46, 183
다마차, 76, 163
카아바, 56, 159
하자다, 70, 186
사파자, 89, 194
라하파, 66, 181
카라차, 99, 179
카마하, 94, 146
마다아, 75, 171
파카사, 49, 143
차아카, 98, 144
가사라, 42, 187
하타다, 90, 144
자마바, 59, 154
나자아, 67, 150
타마차, 52, 189
타하마, 75, 143
타다타, 69, 191
아차차, 53, 186
자파하, 94, 164
사마나, 95, 173
다차라, 55, 152
타가파, 80, 181
하마바, 76, 193
하하하, 60, 190
사다마, 90, 189
차자타, 70, 191
카다가, 59, 187
마사타, 81, 158
나라카, 90, 171
타자파, 47, 147
마바바, 43, 192
카파가, 94, 177
자라아, 60, 190
마차다, 67, 149
아카자, 92, 198
라바하, 41, 179
사라카, 60, 186
카바다, 71, 170
아자파, 49, 148
사아차, 55, 189
타라카, 52, 193
타차마, 90, 164
카카자, 57, 156
하타바, 43, 158
다타다, 80, 144
파아마, 40, 164
라카파, 64, 175
나마바, 59, 159
카사가, 40, 145
타하사, 91, 163
가가가, 75, 184
나카마, 89, 147
사사파, 44, 163
가바타, 40, 147
마라하, 74, 188
카타가, 77, 191
파라아, 54, 194
가바라, 89, 188
마타아, 59, 179
라라타, 44, 164
다나자, 46, 188
라타다, 88, 144
마라나, 97, 196
하다바, 56, 197
마라나, 42, 171
타하차, 92, 198
가마파, 75, 157
하나차, 65, 166
자카자, 62, 142
자가카, 88, 179
라하자, 47, 146
하마카, 99, 192
